set_name,prompt_val,prompt_name,reps,fid,fid_inf,lq_acc,med_acc,uq_acc,lq_acc_ind,med_acc_ind,uq_acc_ind,uq_ind_err,lq_ind_err,lq_fid,med_fid,uq_fid,uq_fid_err,lq_fid_err
small-2,0.25,quarter,2,99.30825284348964,90.12196828282956,0.3475,0.3577,0.36475,0.8409894532424431,0.8599738417446751,0.8830956040385866,0.023121762293911496,0.01898438850223194,90.32624344185572,91.04057125899178,91.68797944168583,0.6474081826940505,0.7143278171360521
small-4,0.25,quarter,4,95.67880565463003,91.48645571934891,0.3207,0.32994999999999997,0.34265,0.77365228422984,0.781978321427103,0.8188202017225005,0.03684188029539748,0.008326037197262992,90.89034320661135,91.52840801243366,92.21543883792782,0.687030825494162,0.6380648058223102
small-6,0.25,quarter,6,94.45742041334125,91.15558477057111,0.3237,0.3262,0.329075,0.7749410551134688,0.7920781393340888,0.8013483198038807,0.009270180469791889,0.01713708422061999,91.347113227839,91.93906584232566,92.64680255164744,0.7077367093217788,0.591952614486658
small-8,0.25,quarter,8,94.05320107730626,92.41246701884883,0.299,0.3009,0.30595,0.7140359441005992,0.7263456173959804,0.7470371778631728,0.02069156046719245,0.01230967329538113,92.05576657804126,92.27532904039471,92.40805631289267,0.13272727249795935,0.21956246235345134
med-2,0.5,half,2,85.3563045993169,77.65050440523987,0.373425,0.3759,0.384225,0.8997395833333334,0.9056323694080191,0.9192001326379263,0.01356776322990727,0.005892786074685685,77.33382181855292,78.04892523129556,78.55197429959563,0.5030490683000721,0.7151034127426357
med-4,0.5,half,4,82.35174479893345,78.29323058721315,0.35252500000000003,0.362,0.38475000000000004,0.8438647720492456,0.8683574146025579,0.9365515981044565,0.06819418350189865,0.024492642553312294,78.38141213012304,78.81539995776937,79.05739424171755,0.24199428394817346,0.4339878276463338
med-6,0.5,half,6,80.97938990287537,78.17795718332252,0.35572499999999996,0.36455000000000004,0.37015000000000003,0.8685140157841307,0.8721838539546873,0.8946784454331352,0.0224945914784479,0.0036698381705566607,78.35057799030999,78.92256480110943,79.77059316468728,0.8480283635778534,0.5719868107994444
med-8,0.5,half,8,80.45699304041102,78.51435838431088,0.363725,0.36765000000000003,0.370075,0.8643515448472344,0.8886713480114402,0.9109390538634103,0.022267705851970132,0.02431980316420579,78.62021712357783,79.23198034459227,79.92116587253813,0.6891855279458525,0.6117632210144421
large-2,0.75,three-quarters,2,75.73495226348314,66.94676042019874,0.379,0.3816,0.384725,0.9081677555097094,0.9214330502779587,0.9412366801383011,0.019803629860342342,0.013265294768249336,69.8355448142087,71.37112200605051,71.73504874263269,0.36392673658217234,1.53557719184181
large-4,0.75,three-quarters,4,73.68398583539806,69.33710552462503,0.39085,0.3957,0.404,0.9417785777770398,0.9592799309034941,0.9729726840448824,0.013692753141388292,0.01750135312645429,72.39168589651946,73.448958782122,73.81555728168784,0.3665984995658391,1.0572728856025435
large-6,0.75,three-quarters,6,73.12931815591594,70.70313920052676,0.38795,0.3977,0.40842500000000004,0.9236738763836128,0.961824845206921,0.9884095340722496,0.02658468886532861,0.03815096882330826,72.8940415643921,74.21306355746074,74.74952211348821,0.5364585560274691,1.3190219930686453
large-8,0.75,three-quarters,8,72.22831615816722,70.18418532897253,0.39632500000000004,0.401,0.4095,0.9602456694188117,0.9686512737783155,0.9746796215362947,0.006028347757979224,0.008405604359503771,73.4139875527898,74.59266548134894,75.13066799577649,0.5380025144275464,1.1786779285591393
